ref	word	root	lemma	b1_huruf	b2_sarfi	b3_nahwi	b4_dalali	b5_all	wazn	bab	same_lemma_nazair	root_occurrences	has_asl
17:8:2	ربُكُمْ	ربب	رب	1	1	1	1	1	فَعُّكُمْ		974	980	0
17:8:4	يرْحمكُمْ	رحم	رحم	1	1	1	1	1	يَفْعَلَكُمْ	فَعَلَ	28	339	1
17:8:6	عُدتُمْ	عود	عاد	1	1	1	1	1	فُلْتُمْ	فَعَلَ	17	63	1
17:8:7	عُدْنا	عود	عاد	1	1	1	1	1	فُلْنَا	فَعَلَ	17	63	1
17:8:8	وجعلْنا	جعل	جعل	1	1	1	1	1	فَعَلْنَا	فَعَلَ	339	346	0
17:8:10	للْكفرين	كفر	كفرون	1	1	1	1	1	فَاعِلِين		128	525	1
17:8:11	حصيرًا	حصر	حصير	1	1	1	1	1	فَعِيلًا		0	6	1
17:9:3	الْقُرْءان	قرا	قرءان	1	1	1	1	1	فُعْلن		69	88	0
17:9:4	يهْدى	هدي	هدى	1	1	1	1	1	يَفْعِل	فَعَلَ	229	316	1
17:9:7	أقْومُ	قوم	اقوم	1	1	1	1	1	أَفْعَل		3	660	1
17:9:8	ويُبشرُ	بشر	بشر	1	1	1	1	1	يُفَعِّل	فَعَّلَ	79	123	1
17:9:9	الْمُؤْمنين	امن	مومن	1	1	1	1	1	مُفْعِلِين		201	879	1
17:9:11	يعْملُون	عمل	عمل	1	1	1	1	1	يَفْعَلُونَ	فَعَلَ	358	360	1
17:9:12	الصلحت	صلح	صلحت	1	1	1	1	1	فَاعِلَات		61	180	1
17:9:15	أجْرًا	اجر	اجر	1	1	1	1	1	فَعْلًا		104	108	1
17:9:16	كبيرًا	كبر	كبير	1	1	1	1	1	فَعِيلًا		39	161	1
17:10:4	يُؤْمنُون	امن	ءامن	1	1	1	1	1	يُفْعِلُونَ	أَفْعَلَ	542	879	1
17:10:5	بالْءاخرة	اخر	اخر	1	1	1	1	1	فعِلَة		239	250	1
17:10:6	أعْتدْنا	عتد	اعتدت	1	1	1	1	1	أَفْعَلْنَا	أَفْعَلَ	13	16	1
17:10:8	عذابًا	عذب	عذاب	1	1	1	1	1	فَعَالًا		321	373	1
17:10:9	أليمًا	الم	اليم	1	1	1	1	1	فَعِيلًا		71	75	1
17:11:1	ويدْعُ	دعو	دعا	1	1	1	1	1	يَفْع	فَعَلَ	169	212	1
17:11:2	الْإنسنُ	انس	انسن	1	1	1	1	1	فِعْلَان		70	97	1
17:11:3	بالشر	شرر	شر	1	1	1	1	1	فَعّ		29	31	0
17:11:4	دُعاءهُ	دعو	دعاء	1	1	1	1	1	فُعَالَهُ		21	212	1
17:11:5	بالْخيْر	خير	خير	1	1	1	1	1	فَعْل		177	196	1
17:11:6	وكان	كون	كان	1	1	1	1	1	فَعَل	فَعَلَ	1357	1390	1
17:11:7	الْإنسنُ	انس	انسن	1	1	1	1	1	فِعْلَان		70	97	1
17:11:8	عجُولًا	عجل	عجول	1	1	1	1	1	فَعُولًا		0	47	1
17:12:1	وجعلْنا	جعل	جعل	1	1	1	1	1	فَعَلْنَا	فَعَلَ	339	346	0
17:12:2	اليْل	ليل	ليل	1	1	1	1	1	فَعْل		83	92	0
17:12:3	والنهار	نهر	نهار	1	1	1	1	1	فَعَال		56	113	1
17:12:4	ءايتيْن	ايي	ءاية	1	1	1	1	1	فعَتَلْن		381	382	0
17:12:5	فمحوْنا	محو	محو	1	1	1	1	1	فَعَلْنَا	فَعَلَ	2	3	1
17:12:6	ءاية	ايي	ءاية	1	1	1	1	1	فعَة		381	382	0
17:12:7	اليْل	ليل	ليل	1	1	1	1	1	فَعْل		83	92	0
17:12:8	وجعلْنا	جعل	جعل	1	1	1	1	1	فَعَلْنَا	فَعَلَ	339	346	0
17:12:9	ءاية	ايي	ءاية	1	1	1	1	1	فعَة		381	382	0
17:12:10	النهار	نهر	نهار	1	1	1	1	1	فَعَال		56	113	1
17:12:11	مُبْصرةً	بصر	مبصرة	1	1	1	1	1	مُفْعِلَة		2	148	1
17:12:12	لتبْتغُوا	بغي	ابتغى	1	1	1	1	1	تَفْتَعُوا	اِفْتَعَلَ	33	96	1
17:12:13	فضْلًا	فضل	فضل	1	1	1	1	1	فَعْلًا		100	104	1
17:12:15	ربكُمْ	ربب	رب	1	1	1	1	1	فَعِّكُمْ		974	980	0
17:12:16	ولتعْلمُوا	علم	علم	1	1	1	1	1	تَفْعَلُوا	فَعَلَ	549	854	1
17:12:17	عدد	عدد	عدد	1	1	1	1	1	فَعَل		6	57	0
17:12:18	السنين	سنو	سنين	1	1	1	1	1	فِعِلن		11	20	0
17:12:19	والْحساب	حسب	حساب	1	1	1	1	1	فِعَال		38	109	1
17:12:20	وكُل	كلل	كل	1	1	1	1	1	فُعّ		359	377	0
17:12:21	شىْءٍ	شيا	شىء	1	1	1	1	1	فَعْل		282	519	0
17:12:22	فصلْنهُ	فصل	فصل	1	1	1	1	1	فَعَّلْنَاهُ	فَعَّلَ	30	43	1
17:12:23	تفْصيلًا	فصل	تفصيل	1	1	1	1	1	تَفْعِيلًا		4	43	1
17:13:1	وكُل	كلل	كل	1	1	1	1	1	فُعّ		359	377	0
17:13:2	إنسنٍ	انس	انسن	1	1	1	1	1	فِعْلَان		70	97	1
17:13:3	ألْزمْنهُ	لزم	الزم	1	1	1	1	1	أَفْعَلْنَاهُ	أَفْعَلَ	2	5	1
17:13:4	طئرهُ	طير	طير	1	1	1	1	1	فَعَئِلَهُ		23	29	1
17:13:6	عُنُقه	عنق	عنق	1	1	1	1	1	فُعُلِهِ		8	9	1
17:13:7	ونُخْرجُ	خرج	اخرج	1	1	1	1	1	نُفْعِل	أَفْعَلَ	98	182	1
17:13:9	يوْم	يوم	يوم	1	1	1	1	1	فَعْل		404	405	0
17:13:10	الْقيمة	قوم	قيمة	1	1	1	1	1	فِعَالَة		71	660	1
17:13:11	كتبًا	كتب	كتب	1	1	1	1	1	فِعَالًا		308	319	1
17:13:12	يلْقىهُ	لقي	لق	1	1	1	1	1	يَفْعَلَهُ	فَعَلَ	13	146	1
17:13:13	منشُورًا	نشر	منشور	1	1	1	1	1	مَفْعُولًا		1	21	1
17:14:1	اقْرأْ	قرا	قرا	1	1	1	1	1	افْعَل	فَعَلَ	15	88	0
17:14:2	كتبك	كتب	كتب	1	1	1	1	1	فِعَالَكَ		308	319	1
17:14:3	كفى	كفي	كفى	1	1	1	1	1	فَعَل	فَعَلَ	31	33	0
17:14:4	بنفْسك	نفس	نفس	1	1	1	1	1	فَعْلِكَ		294	298	1
17:14:5	الْيوْم	يوم	يوم	1	1	1	1	1	فَعْل		404	405	0
17:14:7	حسيبًا	حسب	حسيب	1	1	1	1	1	فَعِيلًا		3	109	1
17:15:2	اهْتدى	هدي	اهتدى	1	1	1	1	1	افْتَعَل	اِفْتَعَلَ	39	316	1
17:15:4	يهْتدى	هدي	اهتدى	1	1	1	1	1	يَفْتَعِل	اِفْتَعَلَ	39	316	1
17:15:5	لنفْسه	نفس	نفس	1	1	1	1	1	فَعْلِهِ		294	298	1
17:15:7	ضل	ضلل	ضل	1	1	1	1	1	فَعّ	فَعَلَ	52	191	0
17:15:9	يضلُ	ضلل	ضل	1	1	1	1	1	يَفِعّ	فَعَلَ	52	191	0
17:15:12	تزرُ	وزر	يزر	1	1	1	1	1	تَعِل	فَعَلَ	6	27	1
17:15:13	وازرة	وزر	وازرة	1	1	1	1	1	فَاعِلَة		4	27	1
17:15:14	وزْر	وزر	وزر	1	1	1	1	1	فِعْل		12	27	1
17:15:15	أُخْرى	اخر	اخر	1	1	1	1	1	فُعْلَى		239	250	1
17:15:17	كُنا	كون	كان	1	1	1	1	1	فُنَّعَ	فَعَلَ	1357	1390	1
17:15:18	مُعذبين	عذب	معذب	1	1	1	1	1	مُفَعِّلِين		3	373	1
17:15:20	نبْعث	بعث	بعث	1	1	1	1	1	نَفْعَل	فَعَلَ	55	67	1
17:15:21	رسُولًا	رسل	رسول	1	1	1	1	1	فَعُولًا		331	513	1
17:16:2	أردْنا	رود	اراد	1	1	1	1	1	أَفَلْنَا	أَفْعَلَ	138	148	1
17:16:4	نُهْلك	هلك	اهلك	1	1	1	1	1	نُفْعِل	أَفْعَلَ	50	68	1
17:16:5	قرْيةً	قري	قرية	1	1	1	1	1	فَعْلَة		56	57	1
17:16:6	أمرْنا	امر	امر	1	1	1	1	1	فَعَلْنَا	فَعَلَ	243	248	1
17:16:7	مُتْرفيها	ترف	مترفين	1	1	1	1	1	مُفْعَلِيهَا		4	8	0
17:16:8	ففسقُوا	فسق	فسق	1	1	1	1	1	فَعَلُوا	فَعَلَ	12	54	0
17:16:10	فحق	حقق	حق	1	1	1	1	1	فَعّ	فَعَلَ	266	287	0
17:16:12	الْقوْلُ	قول	قول	1	1	1	1	1	فَعْل		91	1722	1
17:16:13	فدمرْنها	دمر	دمر	1	1	1	1	1	فَعَّلْنَاهَا	فَعَّلَ	7	10	1
17:16:14	تدْميرًا	دمر	تدمير	1	1	1	1	1	تَفْعِيلًا		1	10	1
17:17:2	أهْلكْنا	هلك	اهلك	1	1	1	1	1	أَفْعَلْنَا	أَفْعَلَ	50	68	1
17:17:4	الْقُرُون	قرن	قرن	1	1	1	1	1	فُعُول		22	36	1
17:17:6	بعْد	بعد	بعد	1	1	1	1	1	فَعْل		206	235	1
17:17:8	وكفى	كفي	كفى	1	1	1	1	1	فَعَل	فَعَلَ	31	33	0
17:17:9	بربك	ربب	رب	1	1	1	1	1	فَعِّكَ		974	980	0
17:17:10	بذُنُوب	ذنب	ذنب	1	1	1	1	1	فُعُول		36	39	1
17:17:11	عباده	عبد	عبد	1	1	1	1	1	فِعَالِهِ		253	275	1
17:17:12	خبيرًا	خبر	خبير	1	1	1	1	1	فَعِيلًا		44	52	1
17:17:13	بصيرًا	بصر	بصير	1	1	1	1	1	فَعِيلًا		50	148	1
17:18:2	كان	كون	كان	1	1	1	1	1	فَعَل	فَعَلَ	1357	1390	1
17:18:3	يُريدُ	رود	اراد	1	1	1	1	1	يُفِعل	أَفْعَلَ	138	148	1
17:18:4	الْعاجلة	عجل	عاجلة	1	1	1	1	1	فَاعِلَة		2	47	1
17:18:5	عجلْنا	عجل	عجل	1	1	1	1	1	فَعَّلْنَا	فَعَّلَ	20	47	1
17:18:9	نشاءُ	شيا	شاء	1	1	1	1	1	نَفَعَل	فَعَلَ	235	519	0
17:18:11	نُريدُ	رود	اراد	1	1	1	1	1	نُفِعل	أَفْعَلَ	138	148	1
17:18:13	جعلْنا	جعل	جعل	1	1	1	1	1	فَعَلْنَا	فَعَلَ	339	346	0
17:18:16	يصْلىها	صلي	يصلى	1	1	1	1	1	يَفْعَلَهَا	فَعَلَ	12	25	0
17:18:17	مذْمُومًا	ذمم	مذموم	1	1	1	1	1	مَفْعُولًا		2	5	0
17:18:18	مدْحُورًا	دحر	مدحور	1	1	1	1	1	مَفْعُولًا		2	4	1
17:19:2	أراد	رود	اراد	1	1	1	1	1	أَفَعَل	أَفْعَلَ	138	148	1
17:19:3	الْءاخرة	اخر	اخر	1	1	1	1	1	فعِلَة		239	250	1
17:19:4	وسعى	سعي	سعى	1	1	1	1	1	فَعَل	فَعَلَ	19	30	0
17:19:6	سعْيها	سعي	سعي	1	1	1	1	1	فَعْلَهَا		9	30	0
17:19:8	مُؤْمن	امن	مومن	1	1	1	1	1	مُفْعِل		201	879	1
17:19:10	كان	كون	كان	1	1	1	1	1	فَعَل	فَعَلَ	1357	1390	1
17:19:11	سعْيُهُم	سعي	سعي	1	1	1	1	1	فَعْلُهُمْ		9	30	0
17:19:12	مشْكُورًا	شكر	مشكور	1	1	1	1	1	مَفْعُولًا		1	75	1
17:20:1	كُلًا	كلل	كل	1	1	1	1	1	فُعًّا		359	377	0
17:20:2	نُمدُ	مدد	امد	1	1	1	1	1	نُفِعّ	أَفْعَلَ	9	32	0
17:20:6	عطاء	عطو	عطاء	1	1	1	1	1	فَعَال		4	14	1
17:20:7	ربك	ربب	رب	1	1	1	1	1	فَعِّكَ		974	980	0
17:20:9	كان	كون	كان	1	1	1	1	1	فَعَل	فَعَلَ	1357	1390	1
17:20:10	عطاءُ	عطو	عطاء	1	1	1	1	1	فَعَال		4	14	1
17:20:11	ربك	ربب	رب	1	1	1	1	1	فَعِّكَ		974	980	0
17:20:12	محْظُورًا	حظر	محظور	1	1	1	1	1	مَفْعُولًا		0	2	1
17:21:1	انظُرْ	نظر	نظر	1	1	1	1	1	افْعُل	فَعَلَ	87	129	1
17:21:2	كيْف	كيف	كيف	1	1	1	1	1	فَعْل		82	83	0
17:21:3	فضلْنا	فضل	فضل	1	1	1	1	1	فَعَّلْنَا	فَعَّلَ	100	104	1
17:21:4	بعْضهُمْ	بعض	بعض	1	1	1	1	1	فَعْلَهُمْ		156	158	1
17:21:6	بعْضٍ	بعض	بعض	1	1	1	1	1	فَعْل		156	158	1
17:21:7	وللْءاخرةُ	اخر	اخر	1	1	1	1	1	فعِلَة		239	250	1
17:21:8	أكْبرُ	كبر	اكبر	1	1	1	1	1	أَفْعَل		24	161	1
17:21:9	درجتٍ	درج	درجة	1	1	1	1	1	فَعَلَات		17	20	1
17:21:10	وأكْبرُ	كبر	اكبر	1	1	1	1	1	أَفْعَل		24	161	1
17:21:11	تفْضيلًا	فضل	تفضيل	1	1	1	1	1	تَفْعِيلًا		1	104	1
17:22:2	تجْعلْ	جعل	جعل	1	1	1	1	1	تَفْعَل	فَعَلَ	339	346	0
17:22:4	الله	اله	الله	1	0	1	1	0			2698	2851	1
17:22:5	إلهًا	اله	اله	1	1	1	1	1	فِعَٰلًا		146	2851	1
17:22:6	ءاخر	اخر	اخر	1	1	1	1	1	فعَل		239	250	1
17:22:7	فتقْعُد	قعد	قعد	1	1	1	1	1	تَفْعُل	فَعَلَ	11	31	1
17:22:8	مذْمُومًا	ذمم	مذموم	1	1	1	1	1	مَفْعُولًا		2	5	0
17:22:9	مخْذُولًا	خذل	مخذول	1	1	1	1	1	مَفْعُولًا		0	3	1
17:23:1	وقضى	قضي	قضى	1	1	1	1	1	فَعَل	فَعَلَ	58	63	1
17:23:2	ربُك	ربب	رب	1	1	1	1	1	فَعُّكَ		974	980	0
17:23:4	تعْبُدُوا	عبد	عبد	1	1	1	1	1	تَفْعُلُوا	فَعَلَ	253	275	1
17:23:7	وبالْولديْن	ولد	والد	1	1	1	1	1	فَاعِلَيْن		13	102	1
17:23:8	إحْسنًا	حسن	احسن	1	1	1	1	1	إِفْعَالًا		68	194	1
17:23:10	يبْلُغن	بلغ	بلغ	1	1	1	1	1	يَفْعُلَنَّ	فَعَلَ	66	77	1
17:23:11	عندك	عند	عند	1	1	1	1	1	فِعْلَكَ		196	201	1
17:23:12	الْكبر	كبر	كبر	1	1	1	1	1	فِعَل		19	161	1
17:23:13	أحدُهُما	احد	احد	1	1	1	1	1	فَعَلُهُمَا		73	85	1
17:23:15	كلاهُما	كلو	كلا	1	1	1	0	0	فِعَلَهُمَا		0	2	0
17:23:17	تقُل	قول	قال	1	1	1	1	1	تَفُل	فَعَلَ	1617	1722	1
17:23:19	أُفٍ	افف	اف	1	1	1	1	1	فُعّ		2	3	0
17:23:21	تنْهرْهُما	نهر	تنهر	1	1	1	1	1	تَفْعَلْهُمَا	فَعَلَ	1	113	1
17:23:22	وقُل	قول	قال	1	1	1	1	1	فُل	فَعَلَ	1617	1722	1
17:23:24	قوْلًا	قول	قول	1	1	1	1	1	فَعْلًا		91	1722	1
17:23:25	كريمًا	كرم	كريم	1	1	1	1	1	فَعِيلًا		29	47	1
17:24:1	واخْفضْ	خفض	اخفض	1	1	1	1	1	افْعِل	فَعَلَ	2	4	0
17:24:3	جناح	جنح	جناح	1	1	1	1	1	فَعَال		31	34	1
17:24:4	الذُل	ذلل	ذل	1	1	1	1	1	فُعّ		2	24	0
17:24:6	الرحْمة	رحم	رحمة	1	1	1	1	1	فَعْلَة		113	339	1
17:24:7	وقُل	قول	قال	1	1	1	1	1	فُل	فَعَلَ	1617	1722	1
17:24:8	ربـ	ربب	رب	1	1	1	1	1	فَعِّ		974	980	0
17:24:9	ارْحمْهُما	رحم	رحم	1	1	1	1	1	افْعَلْهُمَا	فَعَلَ	28	339	1
17:24:11	ربيانى	ربو	ربي	1	1	1	1	1	فَعَّلَانِي	فَعَّلَ	1	20	0
17:24:12	صغيرًا	صغر	صغير	1	1	1	1	1	فَعِيلًا		2	13	1
17:25:1	ربُكُمْ	ربب	رب	1	1	1	1	1	فَعُّكُمْ		974	980	0
17:25:2	أعْلمُ	علم	اعلم	1	1	1	1	1	أَفْعَل		50	854	1
17:25:5	نُفُوسكُمْ	نفس	نفس	1	1	1	1	1	فُعُولِكُمْ		294	298	1
17:25:7	تكُونُوا	كون	كان	1	1	1	1	1	تَفُعلُوا	فَعَلَ	1357	1390	1
17:25:8	صلحين	صلح	صلح	1	1	1	1	1	فَاعِلِين		68	180	1
17:25:10	كان	كون	كان	1	1	1	1	1	فَعَل	فَعَلَ	1357	1390	1
17:25:11	للْأوبين	اوب	اواب	1	1	1	1	1	فَعَّالِين		5	17	1
17:25:12	غفُورًا	غفر	غفور	1	1	1	1	1	فَعُولًا		90	234	0
17:26:1	وءات	اتي	اتى	1	1	1	1	1	فع	أَفْعَلَ	534	549	0
17:26:3	الْقُرْبى	قرب	قربى	1	1	1	1	1	فُعْلَى		15	96	1
17:26:4	حقهُ	حقق	حق	1	1	1	1	1	فَعَّهُ		266	287	0
17:26:5	والْمسْكين	سكن	مسكين	1	1	1	1	1	مِفْعِيل		22	69	1
17:26:6	وابْن	بني	ابن	1	1	1	1	1	افْع		62	184	1
17:26:7	السبيل	سبل	سبيل	1	1	1	1	1	فَعِيل		175	176	1
17:26:9	تُبذرْ	بذر	تبذر	1	1	1	1	1	تُفَعِّل	فَعَّلَ	0	3	1
17:26:10	تبْذيرًا	بذر	تبذير	1	1	1	1	1	تَفْعِيلًا		0	3	1
17:27:2	الْمُبذرين	بذر	مبذرين	1	1	1	1	1	مُفَعِّلِين		0	3	1
17:27:3	كانُوا	كون	كان	1	1	1	1	1	فَعَلُوا	فَعَلَ	1357	1390	1
17:27:4	إخْون	اخو	اخ	1	1	1	1	1	فِعْوَلَن		74	96	1
17:27:5	الشيطين	شطن	شيطن	1	1	1	1	1	فَيَاعِيل		87	88	1
17:27:6	وكان	كون	كان	1	1	1	1	1	فَعَل	فَعَلَ	1357	1390	1
17:27:7	الشيْطنُ	شطن	شيطن	1	1	1	1	1	فَيْعَال		87	88	1
17:27:8	لربه	ربب	رب	1	1	1	1	1	فَعِّهِ		974	980	0
17:27:9	كفُورًا	كفر	كفور	1	1	1	1	1	فَعُولًا		14	525	1
17:28:2	تُعْرضن	عرض	اعرض	1	1	1	1	1	تُفْعِلَنَّ	أَفْعَلَ	31	79	1
17:28:4	ابْتغاء	بغي	ابتغاء	1	1	1	1	1	افْتِعَال		13	96	1
17:28:5	رحْمةٍ	رحم	رحمة	1	1	1	1	1	فَعْلَة		113	339	1
17:28:7	ربك	ربب	رب	1	1	1	1	1	فَعِّكَ		974	980	0
17:28:8	ترْجُوها	رجو	يرجوا۟	1	1	1	1	1	تَفْعُلهَا	فَعَلَ	21	28	0
17:28:9	فقُل	قول	قال	1	1	1	1	1	فُل	فَعَلَ	1617	1722	1
17:28:11	قوْلًا	قول	قول	1	1	1	1	1	فَعْلًا		91	1722	1
17:28:12	ميْسُورًا	يسر	ميسور	1	1	1	1	1	مَفْعُولًا		0	44	1
17:29:2	تجْعلْ	جعل	جعل	1	1	1	1	1	تَفْعَل	فَعَلَ	339	346	0
17:29:3	يدك	يدي	يد	1	1	1	1	1	فَعَكَ		119	120	0
17:29:4	مغْلُولةً	غلل	مغلولة	1	1	1	1	1	مَفْعُولَة		1	16	0
17:29:6	عُنُقك	عنق	عنق	1	1	1	1	1	فُعُلِكَ		8	9	1
17:29:8	تبْسُطْها	بسط	بسط	1	1	1	1	1	تَفْعُلْهَا	فَعَلَ	20	25	1
17:29:9	كُل	كلل	كل	1	1	1	1	1	فُعّ		359	377	0
17:29:10	الْبسْط	بسط	بسط	1	1	1	1	1	فَعْل		20	25	1
17:29:11	فتقْعُد	قعد	قعد	1	1	1	1	1	تَفْعُل	فَعَلَ	11	31	1
17:29:12	ملُومًا	لوم	ملوم	1	1	1	1	1	مَفُعلًا		4	14	1
17:29:13	محْسُورًا	حسر	محسور	1	1	1	1	1	مَفْعُولًا		0	12	1
17:30:2	ربك	ربب	رب	1	1	1	1	1	فَعَّكَ		974	980	0
17:30:3	يبْسُطُ	بسط	بسط	1	1	1	1	1	يَفْعُل	فَعَلَ	20	25	1
17:30:4	الرزْق	رزق	رزق	1	1	1	1	1	فِعْل		115	123	1
17:30:6	يشاءُ	شيا	شاء	1	1	1	1	1	يَفَعَل	فَعَلَ	235	519	0
17:30:7	ويقْدرُ	قدر	قدر	1	1	1	1	1	يَفْعِل	فَعَلَ	58	132	1
17:30:9	كان	كون	كان	1	1	1	1	1	فَعَل	فَعَلَ	1357	1390	1
17:30:10	بعباده	عبد	عبد	1	1	1	1	1	فِعَالِهِ		253	275	1
17:30:11	خبيرًا	خبر	خبير	1	1	1	1	1	فَعِيلًا		44	52	1
17:30:12	بصيرًا	بصر	بصير	1	1	1	1	1	فَعِيلًا		50	148	1
17:31:2	تقْتُلُوا	قتل	قتل	1	1	1	1	1	تَفْعُلُوا	فَعَلَ	150	170	1
17:31:3	أوْلدكُمْ	ولد	ولد	1	1	1	1	1	أَفْعَالَكُمْ		64	102	1
17:31:4	خشْية	خشي	خشية	1	1	1	1	1	فَعْلَة		7	48	1
17:31:5	إمْلقٍ	ملق	املق	1	1	1	1	1	إِفْعَال		1	2	1
17:31:7	نرْزُقُهُمْ	رزق	رزق	1	1	1	1	1	نَفْعُلُهُمْ	فَعَلَ	115	123	1
17:31:10	قتْلهُمْ	قتل	قتل	1	1	1	1	1	فَعْلَهُمْ		150	170	1
17:31:11	كان	كون	كان	1	1	1	1	1	فَعَل	فَعَلَ	1357	1390	1
17:31:12	خطْـًا	خطا	خط	1	1	1	1	1	فِعْلًا		2	22	0
17:31:13	كبيرًا	كبر	كبير	1	1	1	1	1	فَعِيلًا		39	161	1
17:32:2	تقْربُوا	قرب	يقرب	1	1	1	1	1	تَفْعَلُوا	فَعَلَ	10	96	1
17:32:3	الزنى	زني	زنى	1	1	1	0	0	فِعَل		0	9	0
17:32:5	كان	كون	كان	1	1	1	1	1	فَعَل	فَعَلَ	1357	1390	1
17:32:6	فحشةً	فحش	فحشة	1	1	1	1	1	فَاعِلَة		16	24	1
17:32:7	وساء	سوا	ساء	1	1	1	1	1	فَعَل	فَعَلَ	29	167	0
17:32:8	سبيلًا	سبل	سبيل	1	1	1	1	1	فَعِيلًا		175	176	1
17:33:2	تقْتُلُوا	قتل	قتل	1	1	1	1	1	تَفْعُلُوا	فَعَلَ	150	170	1
17:33:3	النفْس	نفس	نفس	1	1	1	1	1	فَعْل		294	298	1
17:33:5	حرم	حرم	حرم	1	1	1	1	1	فَعَّل	فَعَّلَ	38	83	1
17:33:6	اللهُ	اله	الله	1	0	1	1	0			2698	2851	1
17:33:8	بالْحق	حقق	حق	1	1	1	1	1	فَعّ		266	287	0
17:33:10	قُتل	قتل	قتل	1	1	1	1	1	فُعِل	فَعَلَ	150	170	1
17:33:11	مظْلُومًا	ظلم	مظلوم	1	1	1	1	1	مَفْعُولًا		0	315	1
17:33:13	جعلْنا	جعل	جعل	1	1	1	1	1	فَعَلْنَا	فَعَلَ	339	346	0
17:33:14	لوليه	ولي	ولى	1	1	1	1	1	فَعِلِّهِ		115	232	1
17:33:15	سُلْطنًا	سلط	سلطن	1	1	1	1	1	فُعْلَانًا		36	39	1
17:33:17	يُسْرف	سرف	اسرف	1	1	1	1	1	يُفْعِل	أَفْعَلَ	5	23	1
17:33:19	الْقتْل	قتل	قتل	1	1	1	1	1	فَعْل		150	170	1
17:33:21	كان	كون	كان	1	1	1	1	1	فَعَل	فَعَلَ	1357	1390	1
17:33:22	منصُورًا	نصر	منصور	1	1	1	1	1	مَفْعُولًا		1	158	1
17:34:2	تقْربُوا	قرب	يقرب	1	1	1	1	1	تَفْعَلُوا	فَعَلَ	10	96	1
17:34:3	مال	مول	مال	1	1	1	1	1	فَعَل		85	86	0
17:34:4	الْيتيم	يتم	يتيم	1	1	1	1	1	فَعِيل		22	23	0
17:34:8	أحْسنُ	حسن	احسن	1	1	1	1	1	أَفْعَل		68	194	1
17:34:10	يبْلُغ	بلغ	بلغ	1	1	1	1	1	يَفْعُل	فَعَلَ	66	77	1
17:34:11	أشُدهُ	شدد	اشد	1	1	1	1	1	أَفُعَّهُ		38	102	0
17:34:12	وأوْفُوا	وفي	اوفى	1	1	1	1	1	أَفْعُوا	أَفْعَلَ	17	66	0
17:34:13	بالْعهْد	عهد	عهد	1	1	1	1	1	فَعْل		45	46	1
17:34:15	الْعهْد	عهد	عهد	1	1	1	1	1	فَعْل		45	46	1
17:34:16	كان	كون	كان	1	1	1	1	1	فَعَل	فَعَلَ	1357	1390	1
17:34:17	مسْـُولًا	سال	مسول	1	1	1	1	1	مَفْعُولًا		4	129	0
17:35:1	وأوْفُوا	وفي	اوفى	1	1	1	1	1	أَفْعُوا	أَفْعَلَ	17	66	0
17:35:2	الْكيْل	كيل	كيل	1	1	1	1	1	فَعْل		9	16	0
17:35:4	كلْتُمْ	كيل	كال	1	1	1	1	1	فِلْتُمْ	فَعَلَ	1	16	0
17:35:5	وزنُوا	وزن	وزن	1	1	1	1	1	عِلُوا	فَعَلَ	5	23	1
17:35:6	بالْقسْطاس	قسطس	قسطاس	1	1	1	1	1	فِعْلَال		1	2	0
17:35:7	الْمُسْتقيم	قوم	مستقيم	1	1	1	1	1	مُسْتَفِعل		36	660	1
17:35:9	خيْر	خير	خير	1	1	1	1	1	فَعْل		177	196	1
17:35:10	وأحْسنُ	حسن	احسن	1	1	1	1	1	أَفْعَل		68	194	1
17:35:11	تأْويلًا	اول	تاويل	1	1	1	1	1	تَفْعِيلًا		16	170	1
17:36:2	تقْفُ	قفو	تقف	1	1	1	0	0	تَفْع	فَعَلَ	0	5	0
17:36:4	ليْس	ليس	ليس	1	1	1	1	1	فَعْل	فَعَلَ	88	89	0
17:36:7	علْم	علم	علم	1	1	1	1	1	فِعْل		549	854	1
17:36:9	السمْع	سمع	سمع	1	1	1	1	1	فَعْل		99	185	1
17:36:10	والْبصر	بصر	بصر	1	1	1	1	1	فَعَل		47	148	1
17:36:11	والْفُؤاد	فاد	فواد	1	1	1	1	1	فُعَال		15	16	1
17:36:12	كُلُ	كلل	كل	1	1	1	1	1	فُعّ		359	377	0
17:36:14	كان	كون	كان	1	1	1	1	1	فَعَل	فَعَلَ	1357	1390	1
17:36:16	مسْـُولًا	سال	مسول	1	1	1	1	1	مَفْعُولًا		4	129	0
17:37:2	تمْش	مشي	مش	1	1	1	1	1	تَفْع	فَعَلَ	20	23	1
17:37:4	الْأرْض	ارض	ارض	1	1	1	1	1	فَعْل		460	461	1
17:37:5	مرحًا	مرح	مرح	1	1	1	1	1	فَعَلًا		1	3	1
17:37:8	تخْرق	خرق	خرق	1	1	1	1	1	تَفْعِل	فَعَلَ	3	4	1
17:37:9	الْأرْض	ارض	ارض	1	1	1	1	1	فَعْل		460	461	1
17:37:11	تبْلُغ	بلغ	بلغ	1	1	1	1	1	تَفْعُل	فَعَلَ	66	77	1
17:37:12	الْجبال	جبل	جبل	1	1	1	1	1	فِعَال		38	41	1
17:37:13	طُولًا	طول	طول	1	1	1	1	1	فُعلًا		3	10	1
17:38:1	كُلُ	كلل	كل	1	1	1	1	1	فُعّ		359	377	0
17:38:3	كان	كون	كان	1	1	1	1	1	فَعَل	فَعَلَ	1357	1390	1
