ref	word	relation	relation_ar	reason
21:90:5	يحْيى	Obj	مفعول به	case-conflict:مفعول به
21:94:7	فلا	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
21:95:6	لا	pred<<in>>	خبر إن	non-nominal-pos:NEG:خبر إن
21:96:1	حتى	link	متعلق	non-nominal-pos:INC:متعلق
21:96:2	إذا	inc	ابتداء	no-case:ابتداء:T
21:97:4	فإذا	rslt	جواب الشرط	no-case:جواب الشرط:T
21:97:5	هى	sur	فجاءة	no-case:فجاءة:PRON
21:97:11	قدْ	root	root	non-nominal-pos:CERT:root
21:97:17	بلْ	root	root	non-nominal-pos:RET:root
21:99:1	لوْ	root	root	non-nominal-pos:COND:root
21:99:5	ما	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
21:100:6	لا	root	root	non-nominal-pos:NEG:root
21:102:1	لا	Pred	خبر	non-nominal-pos:NEG:خبر
21:103:1	لا	Pred	خبر	non-nominal-pos:NEG:خبر
21:105:1	ولقدْ	root	root	non-nominal-pos:CERT:root
21:107:1	وما	root	root	non-nominal-pos:NEG:root
21:107:3	إلا	res	حصر	non-nominal-pos:RES:حصر
21:108:9	فهلْ	root	root	non-nominal-pos:INTG:root
21:109:1	فإن	root	root	non-nominal-pos:COND:root
21:109:7	وإنْ	root	root	non-nominal-pos:NEG:root
21:111:1	وإنْ	root	root	non-nominal-pos:NEG:root
22:1:4	ربكُمْ	root	root	case-conflict:root
22:2:14	الناس	root	root	case-conflict:root
22:2:16	وما	root	root	non-nominal-pos:NEG:root
22:2:17	هُم	neg	نفي	no-case:نفي:PRON
22:5:3	إن	root	root	non-nominal-pos:COND:root
22:5:14	من	conj	معطوف	tabi-non-nominal:P:معطوف
22:5:17	منْ	conj	معطوف	tabi-non-nominal:P:معطوف
22:5:20	من	conj	معطوف	tabi-non-nominal:P:معطوف
22:5:50	لكيْلا	sub	صلة	non-nominal-pos:NEG:صلة
22:7:1	وأن	conj	معطوف	tabi-non-nominal:ACC:معطوف
22:7:4	لا	root	root	non-nominal-pos:NEG:root
22:8:9	ولا	emph	توكيد	tabi-non-nominal:NEG:توكيد
22:8:11	ولا	emph	توكيد	tabi-non-nominal:NEG:توكيد
22:11:8	فإنْ	root	root	non-nominal-pos:COND:root
22:11:13	وإنْ	conj	معطوف	tabi-non-nominal:COND:معطوف
22:11:20	الدُنْيا	Obj	مفعول به	case-conflict:مفعول به
22:12:6	لا	sub	صلة	non-nominal-pos:NEG:صلة
22:12:9	لا	sub	صلة	non-nominal-pos:NEG:صلة
22:13:8	الْموْلى	Subj	فاعل	case-conflict:فاعل
22:14:7	الصلحت	Obj	مفعول به	case-conflict:مفعول به
22:14:8	جنتٍ	Obj	مفعول به	case-conflict:مفعول به
22:15:4	أن	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
22:15:5	لن	sub	صلة	non-nominal-pos:NEG:صلة
22:15:18	هلْ	root	root	non-nominal-pos:INTG:root
22:16:3	ءايتٍ	circ	حال	case-conflict:حال
22:18:1	ألمْ	intg	استفهام	non-nominal-pos:NEG:استفهام
22:18:29	فما	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
22:18:31	من	emph	توكيد	tabi-non-nominal:P:توكيد
22:18:32	مُكْرمٍ	root	root	case-conflict:root
22:22:1	كُلما	link	متعلق	no-case:متعلق:T
22:22:3	أن	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
22:23:7	الصلحت	Obj	مفعول به	case-conflict:مفعول به
22:23:8	جنتٍ	Obj	مفعول به	case-conflict:مفعول به
22:26:6	أن	root	root	non-nominal-pos:INT:root
22:26:7	لا	int	تفسير	non-nominal-pos:PRO:تفسير
22:26:12	بيْتى	Obj	مفعول به	case-conflict:مفعول به
22:28:2	منفع	root	root	case-conflict:root
22:29:3	تفثهُمْ	root	root	case-conflict:root
22:29:5	نُذُورهُمْ	root	root	case-conflict:root
22:30:4	حُرُمت	Obj	مفعول به	case-conflict:مفعول به
22:30:6	فهُو	rslt	جواب الشرط	no-case:جواب الشرط:PRON
22:30:14	إلا	root	root	non-nominal-pos:RES:root
22:35:2	إذا	sub	صلة	no-case:صلة:T
22:37:1	لن	root	root	non-nominal-pos:NEG:root
22:37:5	ولا	emph	توكيد	tabi-non-nominal:NEG:توكيد
22:37:7	ولكن	root	root	non-nominal-pos:AMD:root
22:38:9	لا	pred<<in>>	خبر إن	non-nominal-pos:NEG:خبر إن
22:40:7	إلا	root	root	non-nominal-pos:RES:root
22:40:8	أن	exp	مستثني	non-nominal-pos:SUB:مستثني
22:40:12	ولوْلا	root	root	non-nominal-pos:COND:root
22:41:2	إن	sub	صلة	non-nominal-pos:COND:صلة
22:42:1	وإن	root	root	non-nominal-pos:COND:root
22:42:3	فقدْ	rslt	جواب الشرط	non-nominal-pos:CERT:جواب الشرط
22:44:9	فكيْف	pred <<kan>>	خبر كان	non-nominal-pos:INTG:خبر كان
22:46:1	أفلمْ	intg	استفهام	non-nominal-pos:NEG:استفهام
22:46:15	لا	pred<<in>>	خبر إن	non-nominal-pos:NEG:خبر إن
22:46:18	ولكن	root	root	non-nominal-pos:AMD:root
22:47:3	ولن	root	root	non-nominal-pos:NEG:root
22:50:4	الصلحت	Obj	مفعول به	case-conflict:مفعول به
22:52:1	وما	root	root	non-nominal-pos:NEG:root
22:52:7	ولا	emph	توكيد	tabi-non-nominal:NEG:توكيد
22:52:9	إلا	root	root	non-nominal-pos:RES:root
22:52:24	ءايته	Obj	مفعول به	case-conflict:مفعول به
22:55:1	ولا	root	root	non-nominal-pos:NEG:root
22:56:2	يوْمئذٍ	link	متعلق	no-case:متعلق:T
22:56:9	الصلحت	Obj	مفعول به	case-conflict:مفعول به
22:57:5	فأُولئك	rslt	جواب الشرط	no-case:جواب الشرط:DEM
22:63:1	ألمْ	intg	استفهام	non-nominal-pos:NEG:استفهام
22:65:1	ألمْ	intg	استفهام	non-nominal-pos:NEG:استفهام
22:65:17	أن	prp	المفعول لأجله	non-nominal-pos:SUB:المفعول لأجله
22:65:21	إلا	root	root	non-nominal-pos:RES:root
22:67:7	فلا	root	root	non-nominal-pos:NEG:root
22:68:1	وإن	root	root	non-nominal-pos:COND:root
22:68:4	اللهُ	Obj	مفعول به	case-conflict:مفعول به
22:70:1	ألمْ	intg	استفهام	non-nominal-pos:NEG:استفهام
22:71:6	لمْ	sub	صلة	non-nominal-pos:NEG:صلة
22:71:15	وما	root	root	non-nominal-pos:NEG:root
22:71:18	نصيرٍ	subj <<ma>>	اسم ما	case-conflict:اسم ما
22:72:5	بينتٍ	circ	حال	case-conflict:حال
22:72:17	ءايتنا	Obj	مفعول به	case-conflict:مفعول به
22:73:13	لن	pred<<an>>	خبر أن	non-nominal-pos:NEG:خبر أن
22:73:16	ولو	circ	حال	non-nominal-pos:COND:حال
22:73:19	وإن	root	root	non-nominal-pos:COND:root
22:73:23	لا	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
22:74:1	ما	root	root	non-nominal-pos:NEG:root
22:76:4	أيْديهمْ	Poss	مضاف إليه	case-conflict:مضاف إليه
22:78:8	وما	root	root	non-nominal-pos:NEG:root
22:78:40	موْلىكُمْ	Pred	خبر	case-conflict:خبر
22:78:42	الْموْلى	Subj	فاعل	case-conflict:فاعل
23:1:1	قدْ	root	root	non-nominal-pos:CERT:root
23:2:2	هُمْ	sub	صلة	no-case:صلة:PRON
23:3:2	هُمْ	sub	صلة	no-case:صلة:PRON
23:4:2	هُمْ	sub	صلة	no-case:صلة:PRON
23:5:2	هُمْ	sub	صلة	no-case:صلة:PRON
23:6:1	إلا	root	root	non-nominal-pos:RES:root
23:7:3	وراء	root	root	case-conflict:root
23:7:5	فأُولئك	rslt	جواب الشرط	no-case:جواب الشرط:DEM
23:8:2	هُمْ	sub	صلة	no-case:صلة:PRON
23:9:2	هُمْ	sub	صلة	no-case:صلة:PRON
23:12:1	ولقدْ	root	root	non-nominal-pos:CERT:root
23:17:1	ولقدْ	root	root	non-nominal-pos:CERT:root
23:17:5	طرائق	Poss	مضاف إليه	case-conflict:مضاف إليه
23:17:6	وما	root	root	non-nominal-pos:NEG:root
23:23:1	ولقدْ	root	root	non-nominal-pos:CERT:root
23:23:10	ما	root	root	non-nominal-pos:NEG:root
23:23:15	أفلا	intg	استفهام	non-nominal-pos:NEG:استفهام
23:24:7	ما	Obj	مفعول به	non-nominal-pos:NEG:مفعول به
23:24:8	هذا	neg	نفي	no-case:نفي:DEM
23:24:9	إلا	res	حصر	non-nominal-pos:RES:حصر
23:24:13	أن	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
23:24:16	ولوْ	root	root	non-nominal-pos:COND:root
23:24:21	ما	root	root	non-nominal-pos:NEG:root
23:25:1	إنْ	root	root	non-nominal-pos:NEG:root
23:25:2	هُو	neg	نفي	no-case:نفي:PRON
23:25:3	إلا	res	حصر	non-nominal-pos:RES:حصر
23:27:3	أن	root	root	non-nominal-pos:INT:root
23:27:17	زوْجيْن	Poss	مضاف إليه	case-conflict:مضاف إليه
23:27:18	اثْنيْن	Obj	مفعول به	case-conflict:مفعول به
23:27:20	إلا	root	root	non-nominal-pos:RES:root
23:27:26	ولا	root	root	non-nominal-pos:NEG:root
23:28:9	الْحمْدُ	Obj	مفعول به	case-conflict:مفعول به
23:30:2	فى	pred<<in>>	خبر إن	prep-in-nominal-slot:خبر إن
23:30:4	لءايتٍ	subj<<in>>	اسم إن	case-conflict:اسم إن
23:30:5	وإن	root	root	non-nominal-pos:CERT:root
23:32:5	أن	root	root	non-nominal-pos:INT:root
23:32:8	ما	root	root	non-nominal-pos:NEG:root
23:32:13	أفلا	intg	استفهام	non-nominal-pos:NEG:استفهام
23:33:14	ما	Obj	مفعول به	non-nominal-pos:NEG:مفعول به
23:33:15	هذا	neg	نفي	no-case:نفي:DEM
23:33:16	إلا	res	حصر	non-nominal-pos:RES:حصر
23:34:1	ولئنْ	root	root	non-nominal-pos:COND:root
23:34:6	إذًا	pred<<in>>	خبر إن	non-nominal-pos:SUR:خبر إن
23:36:1	هيْهات	root	root	case-conflict:root
23:37:1	إنْ	root	root	non-nominal-pos:NEG:root
23:37:2	هى	neg	نفي	no-case:نفي:PRON
23:37:3	إلا	res	حصر	non-nominal-pos:RES:حصر
23:37:8	وما	root	root	non-nominal-pos:NEG:root
23:38:1	إنْ	root	root	non-nominal-pos:NEG:root
23:38:2	هُو	neg	نفي	no-case:نفي:PRON
23:38:3	إلا	res	حصر	non-nominal-pos:RES:حصر
23:38:9	وما	root	root	non-nominal-pos:NEG:root
23:38:10	نحْنُ	neg	نفي	no-case:نفي:PRON
23:43:1	ما	root	root	non-nominal-pos:NEG:root
23:43:3	منْ	Subj	فاعل	prep-in-nominal-slot:فاعل
23:43:6	وما	conj	معطوف	tabi-non-nominal:NEG:معطوف
23:44:6	ما	root	root	non-nominal-pos:SUB:root
23:44:18	لا	Adj	صفة	tabi-non-nominal:NEG:صفة
23:45:3	مُوسى	Obj	مفعول به	case-conflict:مفعول به
23:47:5	وقوْمُهُما	circ	حال	case-conflict:حال
23:49:1	ولقدْ	root	root	non-nominal-pos:CERT:root
23:49:3	مُوسى	Obj	مفعول به	case-conflict:مفعول به
23:50:3	مرْيم	Poss	مضاف إليه	case-conflict:مضاف إليه
23:53:8	لديْهمْ	link	متعلق	no-case:متعلق:LOC
23:56:5	بل	root	root	non-nominal-pos:RET:root
23:56:6	لا	ret	اضراب	non-nominal-pos:NEG:اضراب
23:57:3	هُم	sub	صلة	no-case:صلة:PRON
23:58:2	هُم	sub	صلة	no-case:صلة:PRON
23:59:2	هُم	sub	صلة	no-case:صلة:PRON
23:59:4	لا	Pred	خبر	non-nominal-pos:NEG:خبر
23:60:5	وقُلُوبُهُمْ	circ	حال	case-conflict:حال
23:62:1	ولا	root	root	non-nominal-pos:NEG:root
23:62:4	إلا	root	root	non-nominal-pos:RES:root
23:62:11	لا	Pred	خبر	non-nominal-pos:NEG:خبر
23:63:1	بلْ	root	root	non-nominal-pos:RET:root
23:64:1	حتى	root	root	non-nominal-pos:INC:root
23:64:2	إذا	inc	ابتداء	no-case:ابتداء:T
23:64:4	مُتْرفيهم	Obj	مفعول به	case-conflict:مفعول به
23:64:7	هُمْ	sur	فجاءة	no-case:فجاءة:PRON
23:65:1	لا	Obj	مفعول به	non-nominal-pos:PRO:مفعول به
23:65:6	لا	pred<<in>>	خبر إن	non-nominal-pos:NEG:خبر إن
23:66:1	قدْ	root	root	non-nominal-pos:CERT:root
23:68:1	أفلمْ	intg	استفهام	non-nominal-pos:NEG:استفهام
23:68:7	لمْ	sub	صلة	non-nominal-pos:NEG:صلة
23:69:2	لمْ	root	root	non-nominal-pos:NEG:root
23:70:4	جنة	Obj	مفعول به	case-conflict:مفعول به
23:70:5	بلْ	root	root	non-nominal-pos:RET:root
23:71:1	ولو	root	root	non-nominal-pos:COND:root
23:71:10	بلْ	root	root	non-nominal-pos:RET:root
23:74:3	لا	sub	صلة	non-nominal-pos:NEG:صلة
23:75:1	ولوْ	root	root	non-nominal-pos:COND:root
23:76:1	ولقدْ	root	root	non-nominal-pos:CERT:root
23:76:4	فما	root	root	non-nominal-pos:NEG:root
23:76:7	وما	root	root	non-nominal-pos:NEG:root
23:77:1	حتى	root	root	non-nominal-pos:INC:root
23:77:2	إذا	inc	ابتداء	no-case:ابتداء:T
23:77:10	هُمْ	sur	فجاءة	no-case:فجاءة:PRON
23:80:9	أفلا	intg	استفهام	non-nominal-pos:NEG:استفهام
23:81:1	بلْ	root	root	non-nominal-pos:RET:root
23:82:2	أءذا	intg	استفهام	no-case:استفهام:T
23:83:1	لقدْ	root	root	non-nominal-pos:CERT:root
23:83:8	إنْ	Obj	مفعول به	non-nominal-pos:NEG:مفعول به
23:83:9	هذا	neg	نفي	no-case:نفي:DEM
23:83:10	إلا	res	حصر	non-nominal-pos:RES:حصر
23:84:3	الْأرْضُ	Obj	مفعول به	case-conflict:مفعول به
23:84:6	إن	root	root	non-nominal-pos:COND:root
23:85:4	أفلا	intg	استفهام	non-nominal-pos:NEG:استفهام
23:87:4	أفلا	intg	استفهام	non-nominal-pos:NEG:استفهام
23:88:9	ولا	root	root	non-nominal-pos:NEG:root
23:88:12	إن	root	root	non-nominal-pos:COND:root
23:89:4	فأنى	circ	حال	non-nominal-pos:INTG:حال
23:90:1	بلْ	root	root	non-nominal-pos:RET:root
23:91:1	ما	root	root	non-nominal-pos:NEG:root
23:91:6	وما	root	root	non-nominal-pos:NEG:root
23:91:8	معهُ	Poss	مضاف إليه	case-conflict:مضاف إليه
23:91:11	إذًا	root	root	non-nominal-pos:SUR:root
23:93:2	ربـ	Obj	مفعول به	case-conflict:مفعول به
23:93:3	إما	root	root	non-nominal-pos:EXL:root
23:94:2	فلا	root	root	non-nominal-pos:PRO:root
23:95:3	أن	gen	مجرور	non-nominal-pos:SUB:مجرور
23:98:4	أن	link	متعلق	non-nominal-pos:SUB:متعلق
23:99:1	حتى	link	متعلق	non-nominal-pos:INC:متعلق
23:99:2	إذا	inc	ابتداء	no-case:ابتداء:T
23:100:6	كلا	root	root	non-nominal-pos:AVR:root
23:101:5	فلا	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
23:101:8	يوْمئذٍ	link	متعلق	no-case:متعلق:T
23:101:9	ولا	root	root	non-nominal-pos:NEG:root
23:102:4	فأُولئك	rslt	جواب الشرط	no-case:جواب الشرط:DEM
23:103:4	فأُولئك	rslt	جواب الشرط	no-case:جواب الشرط:DEM
23:103:8	فى	Pred	خبر	prep-in-nominal-slot:خبر
23:105:1	ألمْ	intg	استفهام	non-nominal-pos:NEG:استفهام
23:107:4	فإنْ	root	root	non-nominal-pos:COND:root
23:108:4	ولا	root	root	non-nominal-pos:PRO:root
23:110:5	ذكْرى	Obj	مفعول به	case-conflict:مفعول به
23:112:2	كمْ	Obj	مفعول به	non-nominal-pos:INTG:مفعول به
23:114:2	إن	Obj	مفعول به	non-nominal-pos:NEG:مفعول به
23:114:4	إلا	res	حصر	non-nominal-pos:RES:حصر
23:114:6	لوْ	root	root	non-nominal-pos:COND:root
23:115:5	وأنكُمْ	conj	معطوف	tabi-non-nominal:ACC:معطوف
23:115:7	لا	pred<<in>>	خبر إن	non-nominal-pos:NEG:خبر إن
23:116:5	لا	root	root	non-nominal-pos:NEG:root
23:116:7	إلا	res	حصر	non-nominal-pos:RES:حصر
23:117:7	لا	Adj	صفة	tabi-non-nominal:NEG:صفة
23:117:16	لا	pred<<in>>	خبر إن	non-nominal-pos:NEG:خبر إن
23:118:2	ربـ	Obj	مفعول به	case-conflict:مفعول به
24:2:9	ولا	root	root	non-nominal-pos:PRO:root
24:2:16	إن	root	root	non-nominal-pos:COND:root
24:3:2	لا	Pred	خبر	non-nominal-pos:NEG:خبر
24:3:4	إلا	res	حصر	non-nominal-pos:RES:حصر
24:3:9	لا	Pred	خبر	non-nominal-pos:NEG:خبر
24:3:11	إلا	res	حصر	non-nominal-pos:RES:حصر
24:3:12	زانٍ	Obj	مفعول به	case-conflict:مفعول به
24:4:5	لمْ	root	root	non-nominal-pos:NEG:root
24:4:12	ولا	root	root	non-nominal-pos:PRO:root
24:5:1	إلا	root	root	non-nominal-pos:RES:root
24:6:4	ولمْ	circ	حال	non-nominal-pos:NEG:حال
24:6:8	إلا	res	حصر	non-nominal-pos:RES:حصر
24:6:16	لمن	pred<<in>>	خبر إن	prep-in-nominal-slot:خبر إن
24:7:6	إن	root	root	non-nominal-pos:COND:root
24:8:4	أن	Subj	فاعل	non-nominal-pos:SUB:فاعل
24:9:6	إن	root	root	non-nominal-pos:COND:root
24:10:1	ولوْلا	root	root	non-nominal-pos:COND:root
24:11:7	لا	circ	حال	non-nominal-pos:PRO:حال
24:11:11	بلْ	root	root	non-nominal-pos:RET:root
24:12:1	لوْلا	root	root	non-nominal-pos:EXH:root
24:12:2	إذْ	exh	تحضيض	no-case:تحضيض:T
24:13:1	لوْلا	root	root	non-nominal-pos:EXH:root
24:13:5	شُهداء	Poss	مضاف إليه	case-conflict:مضاف إليه
24:13:7	لمْ	root	root	non-nominal-pos:NEG:root
24:14:1	ولوْلا	root	root	non-nominal-pos:COND:root
24:15:1	إذْ	link	متعلق	no-case:متعلق:T
24:16:1	ولوْلا	root	root	non-nominal-pos:EXH:root
24:16:2	إذْ	exh	تحضيض	no-case:تحضيض:T
24:16:5	ما	Obj	مفعول به	non-nominal-pos:NEG:مفعول به
24:16:8	أن	Subj	فاعل	non-nominal-pos:SUB:فاعل
24:17:3	أن	link	متعلق	non-nominal-pos:SUB:متعلق
24:17:7	إن	root	root	non-nominal-pos:COND:root
24:19:4	أن	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
24:19:19	لا	Pred	خبر	non-nominal-pos:NEG:خبر
24:20:1	ولوْلا	root	root	non-nominal-pos:COND:root
24:21:4	لا	root	root	non-nominal-pos:PRO:root
24:21:8	ومن	root	root	non-nominal-pos:COND:root
24:21:10	خُطُوت	Obj	مفعول به	case-conflict:مفعول به
24:21:16	ولوْلا	root	root	non-nominal-pos:COND:root
24:21:21	ما	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
24:21:24	منْ	Subj	فاعل	prep-in-nominal-slot:فاعل
24:22:1	ولا	root	root	non-nominal-pos:PRO:root
24:22:7	أن	link	متعلق	non-nominal-pos:SUB:متعلق
24:22:18	ألا	intg	استفهام	non-nominal-pos:NEG:استفهام
24:22:20	أن	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
24:25:1	يوْمئذٍ	link	متعلق	no-case:متعلق:T
24:27:4	لا	root	root	non-nominal-pos:PRO:root
24:28:1	فإن	root	root	non-nominal-pos:COND:root
24:28:2	لمْ	cond	شرط	non-nominal-pos:NEG:شرط
24:28:6	فلا	rslt	جواب الشرط	non-nominal-pos:PRO:جواب الشرط
24:28:11	وإن	root	root	non-nominal-pos:COND:root
24:29:4	أن	pred <<lays>>	خبر ليس	non-nominal-pos:SUB:خبر ليس
24:31:8	ولا	root	root	non-nominal-pos:PRO:root
24:31:11	إلا	root	root	non-nominal-pos:RES:root
24:31:19	ولا	root	root	non-nominal-pos:PRO:root
24:31:22	إلا	res	حصر	non-nominal-pos:RES:حصر
24:31:58	لمْ	sub	صلة	non-nominal-pos:NEG:صلة
24:31:63	ولا	root	root	non-nominal-pos:PRO:root
24:32:8	إن	root	root	non-nominal-pos:COND:root
24:33:3	لا	sub	صلة	non-nominal-pos:NEG:صلة
24:33:18	إنْ	root	root	non-nominal-pos:COND:root
24:33:28	ولا	root	root	non-nominal-pos:PRO:root
24:33:30	فتيتكُمْ	Obj	مفعول به	case-conflict:مفعول به
24:33:33	إنْ	root	root	non-nominal-pos:COND:root
24:34:1	ولقدْ	root	root	non-nominal-pos:CERT:root
24:35:22	لا	root	root	non-nominal-pos:NEG:root
24:35:24	ولا	conj	معطوف	tabi-non-nominal:NEG:معطوف
24:35:29	ولوْ	circ	حال	non-nominal-pos:COND:حال
24:35:30	لمْ	cond	شرط	non-nominal-pos:NEG:شرط
24:36:5	أن	link	متعلق	non-nominal-pos:SUB:متعلق
24:37:2	لا	Adj	صفة	tabi-non-nominal:NEG:صفة
24:37:5	ولا	emph	توكيد	tabi-non-nominal:NEG:توكيد
24:39:9	حتى	root	root	non-nominal-pos:INC:root
24:39:10	إذا	inc	ابتداء	no-case:ابتداء:T
24:39:12	لمْ	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
24:40:21	لمْ	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
24:40:25	لمْ	Pred	خبر	non-nominal-pos:NEG:خبر
24:40:30	فما	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
24:40:32	من	emph	توكيد	tabi-non-nominal:P:توكيد
24:40:33	نُورٍ	root	root	case-conflict:root
24:41:1	ألمْ	intg	استفهام	non-nominal-pos:NEG:استفهام
24:41:12	صفتٍ	circ	حال	case-conflict:حال
24:41:14	قدْ	root	root	non-nominal-pos:CERT:root
24:43:1	ألمْ	intg	استفهام	non-nominal-pos:NEG:استفهام
24:43:35	سنا	subj <<ykad>>	اسم يكاد	case-conflict:اسم يكاد
24:46:1	لقدْ	root	root	non-nominal-pos:CERT:root
24:47:13	وما	root	root	non-nominal-pos:NEG:root
24:48:8	إذا	rslt	جواب الشرط	no-case:جواب الشرط:T
24:49:1	وإن	root	root	non-nominal-pos:COND:root
24:50:8	أن	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
24:50:13	بلْ	root	root	non-nominal-pos:RET:root
24:51:12	أن	subj <<kan>>	اسم كان	non-nominal-pos:SUB:اسم كان
24:52:6	الله	root	root	case-conflict:root
24:52:8	فأُولئك	rslt	جواب الشرط	no-case:جواب الشرط:DEM
24:53:5	لئنْ	Obj	مفعول به	non-nominal-pos:COND:مفعول به
24:53:9	لا	Obj	مفعول به	non-nominal-pos:PRO:مفعول به
24:54:6	فإن	root	root	non-nominal-pos:COND:root
24:54:15	وإن	conj	معطوف	tabi-non-nominal:COND:معطوف
24:54:18	وما	root	root	non-nominal-pos:NEG:root
24:54:21	إلا	res	حصر	non-nominal-pos:RES:حصر
24:55:7	الصلحت	Obj	مفعول به	case-conflict:مفعول به
24:55:11	كما	gen	مجرور	non-nominal-pos:SUB:مجرور
24:55:28	لا	root	root	non-nominal-pos:NEG:root
24:55:36	فأُولئك	rslt	جواب الشرط	no-case:جواب الشرط:DEM
24:57:1	لا	root	root	non-nominal-pos:PRO:root
24:57:8	ومأْوىهُمُ	root	root	case-conflict:root
24:58:9	لمْ	sub	صلة	non-nominal-pos:NEG:صلة
24:58:15	من	App	بدل	tabi-non-nominal:P:بدل
24:58:33	ولا	emph	توكيد	tabi-non-nominal:NEG:توكيد
24:58:34	عليْهمْ	conj	معطوف	tabi-non-nominal:P:معطوف
24:58:46	الْءايت	Obj	مفعول به	case-conflict:مفعول به
24:59:7	كما	gen	مجرور	non-nominal-pos:SUB:مجرور
24:59:16	ءايته	Obj	مفعول به	case-conflict:مفعول به
24:60:5	لا	sub	صلة	non-nominal-pos:NEG:صلة
24:60:11	أن	pred <<lays>>	خبر ليس	non-nominal-pos:SUB:خبر ليس
24:60:17	وأن	root	root	non-nominal-pos:SUB:root
24:61:5	ولا	emph	توكيد	tabi-non-nominal:NEG:توكيد
24:61:9	ولا	emph	توكيد	tabi-non-nominal:NEG:توكيد
24:61:13	ولا	emph	توكيد	tabi-non-nominal:NEG:توكيد
24:61:16	أن	pred <<lays>>	خبر ليس	non-nominal-pos:SUB:خبر ليس
24:61:53	أن	pred <<lays>>	خبر ليس	non-nominal-pos:SUB:خبر ليس
24:61:74	الْءايت	Obj	مفعول به	case-conflict:مفعول به
24:62:13	لمْ	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
24:63:1	لا	root	root	non-nominal-pos:PRO:root
24:63:9	قدْ	root	root	non-nominal-pos:CERT:root
24:63:21	أن	prp	المفعول لأجله	non-nominal-pos:SUB:المفعول لأجله
24:64:1	ألا	root	root	non-nominal-pos:INC:root
24:64:8	قدْ	root	root	non-nominal-pos:CERT:root
24:64:13	ويوْم	root	root	case-conflict:root
25:2:6	ولمْ	root	root	non-nominal-pos:NEG:root
25:2:9	ولمْ	root	root	non-nominal-pos:NEG:root
25:3:5	لا	Adj	صفة	tabi-non-nominal:NEG:صفة
25:3:10	ولا	conj	معطوف	tabi-non-nominal:NEG:معطوف
25:3:13	ضرًا	root	root	case-conflict:root
25:3:14	ولا	emph	توكيد	tabi-non-nominal:NEG:توكيد
25:3:16	ولا	conj	معطوف	tabi-non-nominal:NEG:معطوف
25:3:19	ولا	root	root	non-nominal-pos:NEG:root
25:3:21	ولا	root	root	non-nominal-pos:NEG:root
25:4:4	إنْ	Obj	مفعول به	non-nominal-pos:NEG:مفعول به
25:4:5	هذا	neg	نفي	no-case:نفي:DEM
25:4:6	إلا	res	حصر	non-nominal-pos:RES:حصر
25:4:13	فقدْ	root	root	non-nominal-pos:CERT:root
25:7:2	مال	Obj	مفعول به	non-nominal-pos:INTG:مفعول به
25:7:10	لوْلا	root	root	non-nominal-pos:EXH:root
25:8:13	إن	Obj	مفعول به	non-nominal-pos:NEG:مفعول به
25:8:15	إلا	res	حصر	non-nominal-pos:RES:حصر
25:9:2	كيْف	circ	حال	non-nominal-pos:INTG:حال
25:9:7	فلا	root	root	non-nominal-pos:NEG:root
25:10:3	إن	root	root	non-nominal-pos:COND:root
25:10:10	جنتٍ	Obj	مفعول به	case-conflict:مفعول به
25:11:1	بلْ	root	root	non-nominal-pos:RET:root
25:13:8	هُنالك	link	متعلق	no-case:متعلق:T
25:14:1	لا	Pass	نائب فاعل	non-nominal-pos:PRO:نائب فاعل
25:15:2	أذلك	intg	استفهام	no-case:استفهام:DEM
25:17:9	ءأنتُمْ	intg	استفهام	no-case:استفهام:PRON
25:17:11	عبادى	Obj	مفعول به	case-conflict:مفعول به
25:18:3	ما	Obj	مفعول به	non-nominal-pos:NEG:مفعول به
25:18:7	أن	Subj	فاعل	non-nominal-pos:SUB:فاعل
25:18:13	ولكن	root	root	non-nominal-pos:AMD:root
25:19:1	فقدْ	root	root	non-nominal-pos:CERT:root
25:19:5	فما	root	root	non-nominal-pos:NEG:root
25:19:8	ولا	emph	توكيد	tabi-non-nominal:NEG:توكيد
25:20:1	وما	root	root	non-nominal-pos:NEG:root
25:20:6	إلا	res	حصر	non-nominal-pos:RES:حصر
25:21:3	لا	sub	صلة	non-nominal-pos:NEG:صلة
25:21:6	لوْلا	Obj	مفعول به	non-nominal-pos:EXH:مفعول به
25:21:13	لقد	root	root	non-nominal-pos:CERT:root
25:22:4	لا	Obj	مفعول به	non-nominal-pos:NEG:مفعول به
